Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
575786,The Empty Mirror: Experiences in a Japanese Zen Monastery,Janwillem van de Wetering,"Wetering, Janwillem van de",,"=""0312207743""","=""9780312207748""",4,4.06,St. Martin's Griffin,Paperback,160,1999,1973,,2008/04/28,,,read,,,,1,,,0,,,,,
1332188,Shattered Faith: A Woman's Struggle to Stop the Catholic Church from Annuling Her Marriage,Sheila Rauch Kennedy,"Kennedy, Sheila Rauch",,"=""0679439951""","=""9780679439950""",2,3.48,Pantheon,Hardcover,238,1999,1997,,2008/04/28,school-related,school-related,read,Seems like she had very little interesting material and thus wrote about other people's (barely more entertaining) experiences...,,,1,,,0,,,,,
1057231,Samskara: A Rite for a Dead Man,U.R. Ananthamurthy ಯು. ಆರ್. ಅನ೦ತಮೂರ್ತಿ,"ಅನ೦ತಮೂರ್ತಿ, U.R. Ananthamurthy ಯು. ಆರ್.",A.K. Ramanujan,"=""0195610792""","=""9780195610796""",4,3.88,"Oxford University Press, USA",Paperback,176,1979,1965,,2008/04/28,,,read,,,,1,,,0,,,,,
18238,A Season in Purgatory,Dominick Dunne,"Dunne, Dominick",,"=""0345430557""","=""9780345430557""",3,4.04,Ballantine Books,Paperback,464,1998,1993,,2008/03/10,,,read,,,,1,,,0,,,,,
9454,Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,"Hegel, Georg Wilhelm Friedrich","A.V. Miller, John Niemeyer Findlay","=""0198245971""","=""9780198245971""",1,3.91,Oxford University Press,Paperback,640,1976,1807,,2008/01/28,school-related,school-related,read,"I abhor Hegel. If you don't 'get' this book, don't blame yourself - Kierkegaard, Nietzsche, and Schopenhauer didn't either. Philosophy curricula seem to ignore it, simply because Hegel is the worst of authors. Not different, worst.",,,1,,,0,,,,,
80324,Prolegomena to Any Future Metaphysics,Immanuel Kant,"Kant, Immanuel","James W. Ellington, Paul Carus","=""0872205932""","=""9780872205932""",3,3.89,Hacket Publishing,Paperback,160,2002,1783,2007/09/01,2007/10/28,school-related,school-related,read,"Yeah, it's kind of ridiculous to give the best philosopher ever a 3, but it just wasn't all that enthralling, even though he wrote it to be an improvement in readability to the Critique.",,,1,,,0,,,,,
1782103,The Ethics,Baruch Spinoza,"Spinoza, Baruch",,"=""1404302069""","=""9781404302068""",4,4.01,IndyPublish.com,Hardcover,208,2002,1677,,2007/10/28,,,read,,,,1,,,0,,,,,
208657,Theological-Political Treatise,Baruch Spinoza,"Spinoza, Baruch","Seymour Feldman, Samuel Shirley","=""0872206076""","=""9780872206076""",4,4.03,"Hackett Publishing Company, Inc.",Paperback,296,2001,1670,,2007/10/28,,,read,,,,1,,,0,,,,,
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",4,3.61,Penguin Classics,Paperback,329,2003,1916,,2007/07/03,,,read,,,,1,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",4,3.88,Washington Square Press,Mass Market Paperback,323,2003,1606,,2007/07/03,,,read,,,,1,,,0,,,,,
